,pathogen,disease,symptoms
0,71D1252 virus V,,
1,78V3531 virus V,,
2,Abiotrophia defectiva A.,"Endophthalmitis, brain abscess, osteomyelitis, peritonitis, endocarditis",
3,Absidia caerulea A.,,
4,Acaulium acremonium A.,,
5,Achaetomium strumarium A.,,
6,Achimota rubulavirus 1 ARV,,
7,Achimota rubulavirus 2 ARV,,
8,Achromobacter denitrificans A.,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
9,Achromobacter insolitus A.,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
10,Achromobacter piechaudii A.,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
11,Achromobacter ruhlandii A.,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
12,Achromobacter spanius A.,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
13,Achromobacter xylosoxidans A.,"Septicaemia, CAPD peritonitis, pneumonia, ear infection, pulmonary infection in cystic fibrosis, keratitis, vascular line sepsis",
14,Acidaminococcus fermentans A.,"Abscesses, postsurgical infections",
15,Acidovorax avenae A.,"Wound infection, UTI, bacteraemia, meningitis, septic arthritis",
16,Acidovorax delafieldii A.,"Wound infection, UTI, bacteraemia, meningitis, septic arthritis",
17,Acidovorax facilis A.,"Wound infection, UTI, bacteraemia, meningitis, septic arthritis",
18,Acidovorax temperans A.,"Wound infection, UTI, bacteraemia, meningitis, septic arthritis",
19,Acinetobacter baumannii A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
20,Acinetobacter calcoaceticus A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
21,Acinetobacter haemolyticus A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
22,Acinetobacter johnsonii A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
23,Acinetobacter junii A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
24,Acinetobacter lwoffii A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
25,Acinetobacter parvus A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
26,Acinetobacter radioresistens A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
27,Acinetobacter schindleri A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
28,Acinetobacter ursingii A.,"Septicaemia, UTI, wound infections, abscesses, endocarditis, meningitis, osteomyelitis",
29,Acremonium blochii A.,,
30,Acremonium curvulum A.,,
31,Acremonium hyalinulum A.,,
32,Acremonium potronii A.,,
33,Acremonium spinosum A.,,
34,Acrophialophora fusispora A.,,
35,Actinobacillus equuli A.,"Wound infection, abscesses, endocarditis, meningitis",
36,Actinobacillus hominis A.,"Septicaemia, empyema",
37,Actinobacillus lignieresii A.,"Wound infection, abscesses, endocarditis, meningitis",
38,Actinobacillus suis A.,"Wound infection, abscesses, endocarditis, meningitis",
