superkingdom,kingdom,phylum,order,family,genus,species,subspecies,symptoms/diseases,antibiotics,comments
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum massiliense,NA,"Pyelonephritis, UTI, septicaemia, superficial skin infection","Penicillin, cefuroxime, nitrofurantoin, tetracycline, clindamycin",
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces cardiffensis,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces europaeus,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces funkei,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces georgiae,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces gerencseriae,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces hongkongensis,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces meyeri,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces neuii,Actinomyces neuii subsp. anitratus,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces neuii,Actinomyces neuii subsp. neuii,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oricola,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radicidentis,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radingae,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces turicensis,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,NA,Actinomycosis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum schaalii,NA,"Pyelonephritis, UTI, septicaemia, superficial skin infection","Penicillin, cefuroxime, nitrofurantoin, tetracycline, clindamycin",
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum urinale,NA,"Pyelonephritis, UTI, septicaemia, superficial skin infection","Penicillin, cefuroxime, nitrofurantoin, tetracycline, clindamycin",
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum,NA,"Tonsillitis, cellulitis, lymphadenopathy, brain abscess, septicaemia, osteomyelitis","Penicillin, erythromycin",
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii,Mobiluncus curtisii subsp. curtisii,"Endometritis, chorioamnionitis","Ampicillin, cephalosporins, clindamycin",Associated with bacterial vaginosis
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii,Mobiluncus curtisii subsp. holmesii,"Endometritis, chorioamnionitis","Ampicillin, cephalosporins, clindamycin",Associated with bacterial vaginosis
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus mulieris,NA,"Endometritis, chorioamnionitis","Ampicillin, cephalosporins, clindamycin",Associated with bacterial vaginosis
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella bernardiae,NA,"UTI, septicaemia, septic arthritis",β‎-Lactams,Previously known as CDC coryneform group 2
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,NA,Septic arthritis,β‎-Lactams,
Bacteria,NA,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum cambriense,NA,Abscesses,,
Bacteria,NA,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,NA,"Bacteraemia, abscesses, peritonitis, otitis, paronychia","Clindamycin, penicillins, cefoxitin","Reported risk factors include surgery, malignancy, steroid therapy, intravenous drug use, and acupuncture. Some strains used as probiotics"
Bacteria,NA,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,NA,"Bacteraemia, abscesses, peritonitis, otitis, paronychia","Clindamycin, penicillins, cefoxitin","Reported risk factors include surgery, malignancy, steroid therapy, intravenous drug use, and acupuncture. Some strains used as probiotics"
Bacteria,NA,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,NA,"Bacteraemia, abscesses, peritonitis, otitis, paronychia","Clindamycin, penicillins, cefoxitin","Reported risk factors include surgery, malignancy, steroid therapy, intravenous drug use, and acupuncture. Some strains used as probiotics"
Bacteria,NA,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium,NA,"Bacteraemia, abscesses, peritonitis, otitis, paronychia","Clindamycin, penicillins, cefoxitin","Reported risk factors include surgery, malignancy, steroid therapy, intravenous drug use, and acupuncture. Some strains used as probiotics"
Bacteria,NA,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,NA,"Bacteraemia, abscesses, peritonitis, otitis, paronychia","Clindamycin, penicillins, cefoxitin","Reported risk factors include surgery, malignancy, steroid therapy, intravenous drug use, and acupuncture. Some strains used as probiotics"
Bacteria,NA,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,NA,"Bacteraemia, abscesses, peritonitis, otitis, paronychia","Clindamycin, penicillins, cefoxitin","Reported risk factors include surgery, malignancy, steroid therapy, intravenous drug use, and acupuncture. Some strains used as probiotics"
Bacteria,NA,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,NA,Intrauterine and neonatal sepsis,"β‎-Lactams, clindamycin",Associated with bacterial vaginosis
Bacteria,NA,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia inopinata,NA,Dental caries,,
Bacteria,NA,Actinobacteria,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium minutum,NA,"UTI, dental abscesses, pelvic abscesses, wound infection",,Isolates from periodontal sites suggest possible role in periodontal disease
Bacteria,NA,Actinobacteria,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium parvulum,NA,"UTI, dental abscesses, pelvic abscesses, wound infection",,Isolates from periodontal sites suggest possible role in periodontal disease
Bacteria,NA,Actinobacteria,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium rimae,NA,"UTI, dental abscesses, pelvic abscesses, wound infection",,Isolates from periodontal sites suggest possible role in periodontal disease
Bacteria,NA,Actinobacteria,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium vaginae,NA,Bacterial vaginosis,,
Bacteria,NA,Actinobacteria,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella uli,NA,,,
Bacteria,NA,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,NA,From faecal flora. Clinical significance is undefined,,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium accolens,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium afermentans,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium appendicis,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium argentoratense,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium atypicum,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium auris,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium bovis,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium confusum,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium coyleae,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,NA,"Diphtheria, cutaneous infection","Penicillin, erythromycin",Toxigenic infection requires treatment with antitoxin
