#pathogen_cv=ncbi_taxonomy,gemina_curation									
#curation_cv=gemina _curation									
#source_cv=ncbi_taxonomy,ENVO,gemina_curation,gemina_anatomy									
#disease_cv=DOID,gemina_curation									
#portal_cv=gemina_anatomy,gemina_curation									
#infection_atts_cv=gemina_curation,symptoms,infection_attribute									
#transmission_atts_cv=transmission_attribute									
#trans_type_cv=gemina_curation,transmission_process									
#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments
1	Equine influenza virus H3N8	Equus caballus	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2	H1N1 swine influenza virus	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
3	H3N3 subtype	Phoca vitulina	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
4	H3N8 subtype	Canis lupus familiaris	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
5	H4N5 subtype	Phoca vitulina	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
6	H4N6 subtype	Phoca vitulina	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7	Influenza A virus (A/1352/02(H1N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
8	Influenza A virus (A/1496/02(H1N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
9	Influenza A virus (A/1660/02(H1N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
10	Influenza A virus (A/575/01(H1N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
11	Influenza A virus (A/576/01(H1N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
12	Influenza A virus (A/81/HO)	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
13	Influenza A virus (A/Adachi/2/1957(H2N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
14	Influenza A virus (A/Adachi/57(H2N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
