,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
10000000,Bacillus anthracis,Homo sapiens,Anthrax,undocumented,undocumented,undocumented,URL:http://emergency.cdc.gov/agent/anthrax/faq/signs.asp;infection_cvterm=is_host,URL:http://emergency.cdc.gov/agent/anthrax/faq/signs.asp,
10000001,Bacillus anthracis,Homo sapiens,Inhalation anthrax,aerosol,airborne,respiratory system,PMID:12745053;URL:http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5042a1.htm;URL:http://emergency.cdc.gov/agent/anthrax/faq/signs.asp;symptom=throat pain;symptom=fever;symptom=muscles ache;symptom=malaise;symptom=chills;symptom=night sweats;symptom=cough;symptom=dyspnea;symptom=fatigue;symptom=abdominal discomfort,PMID:12745053;URL:http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5042a1.htm;URL:http://emergency.cdc.gov/agent/anthrax/faq/signs.asp,
10000003,Bacillus anthracis,Homo sapiens,Gastrointestinal anthrax,food,vehicle-borne ingestion,gastrointestinal system,URL:http://emergency.cdc.gov/agent/anthrax/faq/signs.asp;symptom=nausea;symptom=loss of appetite;symptom=vomiting;symptom=fever;symptom=abdominal pain;symptom=diarrhea,URL:http://emergency.cdc.gov/agent/anthrax/faq/signs.asp,
10000004,Bacillus anthracis,Macaca mulatta,Anthrax,air,airborne,respiratory system,PMID:7474943,PMID:7474943,
10000007,Bacillus anthracis,Syncerus caffer caffer,Anthrax,food,vehicle-borne ingestion,gastrointestinal system,PMID:1907048,PMID:1907048,
10000008,Bacillus anthracis,Loxodonta africana,Anthrax,food,vehicle-borne ingestion,gastrointestinal system,PMID:1907048;URL:http://www.iedcr.org/anthrax%20full%20report.pdf,PMID:1907048;URL:http://www.iedcr.org/anthrax%20full%20report.pdf,
10000009,Bacillus anthracis,Hippopotamus amphibius,Anthrax,food,vehicle-borne ingestion,gastrointestinal system,PMID:1907048;URL:http://news.bbc.co.uk/2/hi/africa/3996067.stm,PMID:1907048;URL:http://news.bbc.co.uk/2/hi/africa/3996067.stm,
10000010,Bacillus anthracis,Bos taurus,Anthrax,air,airborne,respiratory system,URL:http://www.cdc.gov/vaccines/Pubs/pinkbook/downloads/anthrax-508.pdf;URL:http://microbiology.suite101.com/article.cfm/anthrax_in_cattle;URL:http://www.anthraxvaccine.org/zimbabwe.html,URL:http://www.cdc.gov/vaccines/Pubs/pinkbook/downloads/anthrax-508.pdf;URL:http://microbiology.suite101.com/article.cfm/anthrax_in_cattle;URL:http://www.anthraxvaccine.org/zimbabwe.html,
10000011,Bacillus anthracis,Equus caballus,Anthrax,air,airborne,respiratory system,PMID:18008717,PMID:18008717,
10000012,Bacillus anthracis str. 'Ames Ancestor',Bos taurus,Anthrax,undocumented,undocumented,undocumented,PMID:18952800,PMID:18952800,
10000013,Bacillus anthracis str. A2012,Homo sapiens,Inhalation anthrax,aerosol,airborne,respiratory system,PMID:11747719;PMID:18952800;PMID:17093023;PMID:12396910;URL:http://pubs.acs.org/doi/pdf/10.1021/ac086131g;URL:http://www.hhs.gov/disasters/discussion/planners/playbook/anthrax/aerosolized/index.html,PMID:11747719;PMID:18952800;PMID:17093023;PMID:12396910;URL:http://pubs.acs.org/doi/pdf/10.1021/ac086131g;URL:http://www.hhs.gov/disasters/discussion/planners/playbook/anthrax/aerosolized/index.html,
