,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
0,"#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments,",,,,,,,,
1,"1	Equine Influenza virus H3N8	Equus caballus	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2,"2	H1N1 swine Influenza virus	Sus scrofa	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
3,"3	H3N3 subtype	Phoca vitulina	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
4,"4	H3N8 subtype	Canis familiaris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
5,"5	H4N5 subtype	Phoca vitulina	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
6,"6	H4N6 subtype	Phoca vitulina	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
7,"7	Influenza A virus (A/1352/02(H1N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
8,"8	Influenza A virus (A/1496/02(H1N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
9,"9	Influenza A virus (A/1660/02(H1N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
10,"10	Influenza A virus (A/575/01(H1N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
11,"11	Influenza A virus (A/576/01(H1N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
12,"12	Influenza A virus (A/81/HO)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
13,"13	Influenza A virus (A/Adachi/2/57(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
14,"14	Influenza A virus (A/Adachi/57(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
15,"15	Influenza A virus (A/African starling/England/983/79(H7N1))	Sturnus	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
16,"16	Influenza A virus (A/African starling/England-Q/983/1979(H7N1))	Sturnus	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
17,"17	Influenza A virus (A/Aichi/102/1999(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
18,"18	Influenza A virus (A/Aichi/103/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
19,"19	Influenza A virus (A/Aichi/104/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
20,"20	Influenza A virus (A/Aichi/108/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
21,"21	Influenza A virus (A/Aichi/111/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
22,"22	Influenza A virus (A/Aichi/11/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
23,"23	Influenza A virus (A/Aichi/122/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
24,"24	Influenza A virus (A/Aichi/132/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
25,"25	Influenza A virus (A/Aichi/133/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
26,"26	Influenza A virus (A/Aichi/134/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
27,"27	Influenza A virus (A/Aichi/14/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
28,"28	Influenza A virus (A/Aichi/143/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
29,"29	Influenza A virus (A/Aichi/145/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
30,"30	Influenza A virus (A/Aichi/150/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
31,"31	Influenza A virus (A/Aichi/164/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
32,"32	Influenza A virus (A/Aichi/165/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
33,"33	Influenza A virus (A/Aichi/166/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
34,"34	Influenza A virus (A/Aichi/167/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
35,"35	Influenza A virus (A/Aichi/168/2005(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
36,"36	Influenza A virus (A/Aichi/169/2005(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
37,"37	Influenza A virus (A/Aichi/17/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
38,"38	Influenza A virus (A/Aichi/173/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
39,"39	Influenza A virus (A/Aichi/174/05(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
40,"40	Influenza A virus (A/Aichi/174/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
41,"41	Influenza A virus (A/Aichi/185/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
42,"42	Influenza A virus (A/Aichi/188/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
43,"43	Influenza A virus (A/Aichi/19/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
44,"44	Influenza A virus (A/Aichi/197/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
45,"45	Influenza A virus (A/Aichi/211/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
46,"46	Influenza A virus (A/Aichi/21/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
47,"47	Influenza A virus (A/Aichi/213/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
48,"48	Influenza A virus (A/Aichi/2/1968(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
49,"49	Influenza A virus (A/Aichi/2/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
50,"50	Influenza A virus (A/Aichi/24/1992(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
51,"51	Influenza A virus (A/Aichi/25/1996(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
52,"52	Influenza A virus (A/Aichi/2/68 (Ao))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
53,"53	Influenza A virus (A/Aichi/2/94(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
54,"54	Influenza A virus (A/Aichi/46/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
55,"55	Influenza A virus (A/Aichi/4/93(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
56,"56	Influenza A virus (A/Aichi/67/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
57,"57	Influenza A virus (A/Aichi/69/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
58,"58	Influenza A virus (A/Aichi/7/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
59,"59	Influenza A virus (A/Aichi/80/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
60,"60	Influenza A virus (A/Aichi/9/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
61,"61	Influenza A virus (A/Aichi/94/1999(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
