,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
338,Ricinus communis ricin,Homo sapiens,Ricin poisoning,air,airborne,respiratory system,toxin=Ricinus communis ricin;URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,
339,Ricinus communis ricin,Homo sapiens,Ricin poisoning,food,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,
340,Ricinus communis ricin,Homo sapiens,Ricin poisoning,umbrella,vehicle-borne fomite,skin,"toxin=Ricinus communis ricin;URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf;URL:http://www.timesonline.co.uk/article/0,,2087-1641567,00.html;PMID:11905087",URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,
341,Ricinus communis ricin,Ricinus communis,no disease,,,,URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,
342,Ricinus communis ricin,Homo sapiens,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,
343,Ricinus communis ricin,Homo sapiens,Ricin poisoning,aerosol,droplet spread,respiratory system,toxin=Ricinus communis ricin;URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,URL:http://www.bt.cdc.gov/agent/ricin/pdf/ricinqa.pdf,
344,Ricinus communis ricin,Bos taurus,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,
345,Ricinus communis ricin,Canis lupus familiaris,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px;PMID:10825094,URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px;PMID:10825094,
346,Ricinus communis ricin,Capra hircus,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,
347,Ricinus communis ricin,Equus caballus,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,
348,Ricinus communis ricin,Oryctolagus cuniculus,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,
349,Ricinus communis ricin,Ovis aries,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,
350,Ricinus communis ricin,Sus scrofa,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,
351,Ricinus communis ricin,Galliformes,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,URL:http://www.cbif.gc.ca/pls/pp/ppack.info?p_psn=135&p_type=all&p_sci=sci&p_x=px,
352,Ricinus communis ricin,Felis catus,Ricin poisoning,undocumented,undocumented,undocumented,toxin=Ricinus communis ricin;PMID:10825094,PMID:10825094,
353,Ricinus communis ricin,Homo sapiens,Ricin poisoning,Ricinus communis,vehicle-borne fomite,skin,toxin=Ricinus communis ricin;URL:http://www2a.cdc.gov/phtn/webcast/ricin/RicinScript.rev.07-14-04.htm,URL:http://www2a.cdc.gov/phtn/webcast/ricin/RicinScript.rev.07-14-04.htm,
354,Ricinus communis ricin,Anas,Ricin poisoning,Ricinus communis,vehicle-borne ingestion,digestive system,toxin=Ricinus communis ricin;PMID:7271655,PMID:7271655,
