,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
1,Variola virus,Homo sapiens,Smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=fever;symptom=maculopapular rash;symptom=toxemia,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
2,Variola major virus,Homo sapiens,Smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=fever;symptom=hydrocephalus;symptom=drowsiness;symptom=muscle weakness;symptom=joint pain;symptom=chest pain;symptom=change in body sensation;symptom=cough;symptom=confusion;symptom=testicular pain;symptom=throat pain;symptom=headache;symptom=loss of appetite;symptom=paralysis;symptom=sensory disturbance;symptom=parotid pain;symptom=nausea;symptom=slow pulse;symptom=stiff neck;symptom=vomiting;symptom=muscle pain;symptom=malaise;symptom=excess lymphocytes in cerebrospinal fluid,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
3,Variola major virus,Homo sapiens,Ordinary smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=severe joint pain;symptom=severe chest pain;symptom=extreme prostration;symptom=abdominal pain ,,
4,Variola major virus,Homo sapiens,Modified smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
5,Variola major virus,Homo sapiens,Flat-type smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
6,Variola major virus,Homo sapiens,Hemorrhagic smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
7,Variola minor virus,Homo sapiens,Smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
8,Variola virus,Homo sapiens,Smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
9,Variola major virus,Homo sapiens,Smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
10,Variola major virus,Homo sapiens,Ordinary smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
11,Variola major virus,Homo sapiens,Modified smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
12,Variola major virus,Homo sapiens,Flat-type smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=enanthem,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
13,Variola major virus,Homo sapiens,Hemorrhagic smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=hemorrhage into skin;symptom=intense toxemia;symptom=hemorrhage into mucous membrane,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
14,Variola minor virus,Homo sapiens,Smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
15,Variola virus,Homo sapiens,Smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
16,Variola major virus,Homo sapiens,Smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
17,Variola major virus,Homo sapiens,Ordinary smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
18,Variola major virus,Homo sapiens,Modified smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
19,Variola major virus,Homo sapiens,Flat-type smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
20,Variola major virus,Homo sapiens,Hemorrhagic smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
21,Variola minor virus,Homo sapiens,Smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
22,Variola virus,Homo sapiens,Smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
23,Variola major virus,Homo sapiens,Smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
24,Variola major virus,Homo sapiens,Ordinary smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
25,Variola major virus,Homo sapiens,Modified smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
26,Variola major virus,Homo sapiens,Flat-type smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
27,Variola major virus,Homo sapiens,Hemorrhagic smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
28,Variola minor virus,Homo sapiens,Smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
