,abstract_text
29954049," Although ""Girls are as good as boys at math"" explicitly expresses equality, we predict it could nevertheless suggest that boys have more raw talent. In statements with this subject-complement structure, the item in the complement position serves as the reference point and is thus considered more typical and prominent. This explains why ""Tents are like houses,"" for instance, sounds better than ""Houses are like tents""-people generally think of houses as more typical. For domains about ability, the reference point should be the item that is typically more skilled. We further propose that the reference point should be naturally more skilled. In two experiments, we presented adults with summaries of actual scientific evidence for gender equality in math (Experiment 1) or verbal ability (Experiment 2), but we manipulated whether the reference point in the statements of equality in the summaries (e.g., ""Boys' verbal ability is as good as girls'"") was girls or boys. As predicted, adults attributed more natural ability to each gender when it was in the complement rather than subject position. Yet, in Experiment 3, we found that when explicitly asked, participants judged that such sentences were not biased in favor of either gender, indicating that subject-complement statements must be transmitting this bias in a subtle way. Thus, statements such as ""Girls are as good as boys at math"" can actually backfire and perpetuate gender stereotypes about natural ability."
29954048," ICAP is a theory of active learning that differentiates students' engagement based on their behaviors. ICAP postulates that Interactive engagement, demonstrated by co-generative collaborative behaviors, is superior for learning to Constructive engagement, indicated by generative behaviors. Both kinds of engagement exceed the benefits of Active or Passive engagement, marked by manipulative and attentive behaviors, respectively. This paper discusses a 5-year project that attempted to translate ICAP into a theory of instruction using five successive measures: (a) teachers' understanding of ICAP after completing an online module, (b) their success at designing lesson plans using different ICAP modes, (c) fidelity of teachers' classroom implementation, (d) modes of students' enacted behaviors, and (e) students' learning outcomes. Although teachers had minimal success in designing Constructive and Interactive activities, students nevertheless learned significantly more in the context of Constructive than Active activities. We discuss reasons for teachers' overall difficulty in designing and eliciting Interactive engagement."
29954047," Automatic facial recognition is becoming increasingly ubiquitous in security contexts such as passport control. Currently, Automated Border Crossing (ABC) systems in the United Kingdom (UK) and the European Union (EU) require supervision from a human operator who validates correct identity judgments and overrules incorrect decisions. As the accuracy of this human-computer interaction remains unknown, this research investigated how human validation is impacted by a priori face-matching decisions such as those made by automated face recognition software. Observers matched pairs of faces that were already labeled onscreen as depicting the same identity or two different identities. The majority of these labels provided information that was consistent with the stimuli presented, but some were also inconsistent or provided ""unresolved"" information. Across three experiments, accuracy consistently deteriorated on trials that were inconsistently labeled, indicating that observers' face-matching decisions are biased by external information such as that provided by ABCs."
29954046," In cirrhotic patients, a high serum creatinine value is an independent mortality factor. Similarly, it is predictive of renal insufficiency after liver transplantation, and chronic kidney disease in this situation, is also an independent mortality factor. A relevant evaluation of GFR is currently crucial, particularly in case of end-stage liver disease or liver transplant project, and is key for the decision of double liver-kidney transplantation. Serum creatinine or creatinine-based equations are the most used tools in clinical practice but they significantly overestimate renal function. Equilibrium inulin renal clearance remains the gold standard but is time consuming and expensive. Cystatin C and Cystatin C-based equations are less influenced by muscle mass or bilirubin value, but their dosage is not standardized and is expensive. Pharmacological models using exogenous markers, new kidney biomarkers, Doppler coupled with ultrasounds, and kidney histology may be interesting tools but their indications need to be specified."
29954045," Female genital mutilation (FGM) is a cultural practice defined as the partial or total removal of the external female genitalia for nontherapeutic indications. Due to changing patterns of migration, clinicians in high-income countries are seeing more women from countries where the practice is prevalent. This review aims to understand the sociocultural and health needs of these women and identify opportunities to improve the quality of maternity care for women with FGM. We undertook a systematic review and meta-synthesis of peer-reviewed primary qualitative research to explore the experience and needs of migrant women with FGM receiving maternity care. A structured search of nine databases was undertaken, screened papers appraised, and a thematic analysis undertaken on data extracted from the findings and discussion sections of included papers. Sixteen peer-reviewed studies were included in the systematic review. Four major themes were revealed: Living with fear, stigma, and anxiety; Feelings of vulnerability, distrust, and discrimination; Dealing with past and present ways of life after resettlement; and Seeking support and involvement in health care. The findings suggest that future actions for improving maternity care quality should be focused on woman-centered practice, demonstrating cultural safety and developing mutual trust between a woman and her care providers. Meaningful consultation with women affected by FGM in high-income settings requires cultural sensitivity and acknowledgment of their specific circumstances. This can be achieved by engaging women affected by FGM in service design to provide quality care and ensure woman-focused policy is developed and implemented."
29954044," Although many pregnant women experience fear, worry, or anxiety relating to the upcoming birth, little is known regarding the psychological mechanisms contributing to these experiences. In this study, we wanted to take a first step in trying to identify mechanisms of potential interest. The objective of this cross-sectional study was thus to investigate pain catastrophizing, intolerance of uncertainty, positive worry beliefs, and cognitive avoidance as potential mechanisms predicting fear of birth among pregnant women. A sample of 499 pregnant women, recruited in antenatal health care settings in 2 Swedish regions, completed the Fear of Birth Scale, along with measurements of the mechanisms of interest. Linear and logistic hierarchical regression analyses were used to investigate the extent to which pain catastrophizing, intolerance of uncertainty, positive worry beliefs, and cognitive avoidance predicted fear of birth, both as a continuous and a dichotomous measure. Logistic regression analysis showed high levels of pain catastrophizing and intolerance of uncertainty to be the best predictors of fear of birth, OR 3.49 (95% CI 2.17-5.61) and OR 3.25 (95% CI 2.00-5.27), respectively. Positive beliefs about worry and cognitive avoidance were both correlated with fear of birth as a continuous measure, but did not contribute to the logistic regression model. Pain catastrophizing and intolerance of uncertainty were the most evident predictors of fear of birth. Although preliminary, the findings suggest that interventions targeting catastrophic cognitions and intolerance of uncertainty might be relevant to psychological treatment for fear, worry, or anxiety relating to giving birth."
29954043," Storytelling represents a key element in the creation and propagation of culture. Three main accounts of the adaptive function of storytelling include (a) manipulating the behavior of the audience to enhance the fitness of the narrator, (b) transmitting survival-relevant information while avoiding the costs involved in the first-hand acquisition of that information, and (c) maintaining social bonds or group-level cooperation. We assess the substantial evidence collected in experimental and ethnographic studies for each account. These accounts do not always appeal to the specific features of storytelling above and beyond language use in general. We propose that the specific adaptive value of storytelling lies in making sense of non-routine, uncertain, or novel situations, thereby enabling the collaborative development of previously acquired skills and knowledge, but also promoting social cohesion by strengthening intragroup identity and clarifying intergroup relations."
29954042," This study focuses on the examination of stable isotope biomarkers in human fingernails of travelers who ventured away from Salt Lake City, UT and subsequently returned. Here, we describe three case studies examining: individual travelers (n = 4), paired travelers (n = 2), and a traveler (n = 1) who repeatedly left and returned. Our case studies examined the influences of dietary and drinking water inputs on fingernail stable isotope profiles for reconstructing travel histories. Stable isotope data were compared with theoretical and predictive models that laid the groundwork for anthropological and forensic geospatial reconstruction of travel histories. Drinking water inputs strongly influenced stable isotope profiles and the patterns observed were consistent with reported travel histories. Finally, observed fingernail stable isotope ratio data were consistent with modeled rates of stable isotope turnover and transition to expected values for the new environment. The results of our study further support the use of fingernail tissues for travel history reconstruction."
29954041, Fragility fractures are associated with a substantial mortality and morbidity. Because of the high prevalence of comorbidities and a high risk of complications the application of geriatric principles in the complex treatment of these patients is vital. The last years have seen a paradigm shift in the treatment of fragility fractures from an orthopedic disorder towards an orthogeriatric syndrome. This article reviews the orthogeriatric principles of treating fragility fractures.
29954032,"  Scientific publications are important for the advancement in medicine. Surgical disciplines including cardiac surgery are frequently considered not scientifically leading. However, a specific comparison between surgical and nonsurgical disciplines has not yet been performed. We thus compared scientific output of German departments of cardiac surgery with nonsurgical cardiology departments and surgical departments not addressing the heart (general surgery) of 34 universities in Germany.  For each university, the personnel working at the different departments were identified on the internet homepage in 2014. We searched for publications of these persons in 2011 to 2013 on PubMed, identified author position, coauthors, and type of article, as well as journal impact factor (JIF).  There were 931 academic persons in cardiac surgery, 1,486 in general surgery, and 1,814 in cardiology with 12,096 publications related to these persons on PubMed. Cardiology published most manuscripts, including manuscripts from research conducted (first author), initiated (senior author), or both. Cardiac surgery had the least publications and had fewer authors from other departments or institutions. The average JIF was higher in cardiology compared with the two surgical disciplines. However, relating the number of publications to the number of employees in the departments, the differences were no longer apparent.  We conclude that the number of publications in German universities appears to be a function of the number of academic personnel and not of the discipline. The lower JIFs in surgery may be due to the smaller surgical fields and/or due to less high impact interdisciplinary/interinstitutional publications in surgery."
