,PMID,pathNames,tagged_As
0,29954046,,disease
1,29954046,,disease
2,29954024,Campylobacter concisus C.;Campylobacter curvus C.;Campylobacter showae C.;Campylobacter rectus C.;Campylobacter gracilis C.;Campylobacter sputorum C,head
3,29954024,Campylobacter concisus C.;Campylobacter curvus C.;Campylobacter showae C.;Campylobacter rectus C.;Campylobacter gracilis C.;Campylobacter sputorum C,head
4,29954020,,disease
5,29954018,,disease
6,29954018,,disease
7,29954018,,disease
8,29954016,Bacillus coagulans B.;Clostridium perfringens C.;Ricinus communis ricin R.;Lysinibacillus sphaericus L.;Bacillus cereus B.;Staphylococcus gallinarum S.;Staphylococcus cohnii subsp. urealyticus S.;Staphylococcus epidermidis S.;Staphylococcus delphini S.;Bacillus licheniformis B.;Staphylococcus auricularis S.;Staphylococcus capitis subsp. capitis S.;Bacillus pumilus B.;Bacillus subtilis B.;Clostridium perfringens SM101 C.;Bacillus circulans B.;Staphylococcus aureus S.;Bacillus mycoides B.;Bacillus thuringiensis B.;Staphylococcus equorum S.;Staphylococcus cohnii subsp. cohnii S.;Staphylococcus capitis subsp. ureolyticus S.;Staphylococcus caprae S.;Bacillus megaterium B,poisoning
9,29954016,Bacillus coagulans B.;Clostridium perfringens C.;Ricinus communis ricin R.;Lysinibacillus sphaericus L.;Bacillus cereus B.;Staphylococcus gallinarum S.;Staphylococcus cohnii subsp. urealyticus S.;Staphylococcus epidermidis S.;Staphylococcus delphini S.;Bacillus licheniformis B.;Staphylococcus auricularis S.;Staphylococcus capitis subsp. capitis S.;Bacillus pumilus B.;Bacillus subtilis B.;Clostridium perfringens SM101 C.;Bacillus circulans B.;Staphylococcus aureus S.;Bacillus mycoides B.;Bacillus thuringiensis B.;Staphylococcus equorum S.;Staphylococcus cohnii subsp. cohnii S.;Staphylococcus capitis subsp. ureolyticus S.;Staphylococcus caprae S.;Bacillus megaterium B,poisoning
10,29954016,,disease
11,29954013,Plasmodium P.;Human immunodeficiency virus 1 HIV;Human respiratory syncytial virus HRSV;Ascomycota A.;Trichophyton verrucosum T.;Human immunodeficiency virus 2 HIV;Bacteria <prokaryote> B.;Viruses VV;Fungi F.;Bacteria B.;Trichophyton equinum T.;Leishmania L,infectious
12,29954013,Plasmodium P.;Human immunodeficiency virus 1 HIV;Human respiratory syncytial virus HRSV;Ascomycota A.;Trichophyton verrucosum T.;Human immunodeficiency virus 2 HIV;Bacteria <prokaryote> B.;Viruses VV;Fungi F.;Bacteria B.;Trichophyton equinum T.;Leishmania L,diseases
13,29954013,,diseases
14,29954013,Bacteroides salyersiae B.;Bacteroides caccae B.;Bacteroides massiliensis B.;Bacteroides finegoldii B.;Odoribacter splanchnicus O.;Bacteroides ovatus B.;Bacteroides stercoris B.;Bacteroides thetaiotaomicron B.;Bacteroides nordii B.;Bacteroides vulgatus B.;Pseudoflavonifractor capillosus P.;Bacteroides coagulans B.;Bacteroides fragilis B.;Bacteroides uniformis B.;Bacteroides pyogenes B.;Bacteroides eggerthii B.;Campylobacter ureolyticus C,chronic
15,29954013,Bacteroides salyersiae B.;Bacteroides caccae B.;Bacteroides massiliensis B.;Bacteroides finegoldii B.;Odoribacter splanchnicus O.;Bacteroides ovatus B.;Bacteroides stercoris B.;Bacteroides thetaiotaomicron B.;Bacteroides nordii B.;Bacteroides vulgatus B.;Pseudoflavonifractor capillosus P.;Bacteroides coagulans B.;Bacteroides fragilis B.;Bacteroides uniformis B.;Bacteroides pyogenes B.;Bacteroides eggerthii B.;Campylobacter ureolyticus C,diseases
16,29954013,,diseases
17,29954012,,diseases
18,29954012,,diseases
19,29954011,,diseases
20,29954011,,diseases
21,29954011,,diseases
22,29954011,,diseases
23,29954011,,diseases
24,29954011,,disease
25,29954011,,disease
26,29954011,,diseases
