,PMID,pathNames,tagged_As
0,29954045,Clostridium perfringens C,anxiety
1,29954044,Clostridium perfringens C,anxiety
2,29954044,Clostridium perfringens C,anxiety
3,29954041,Coxiella burnetii RSA 493 C,syndrome
4,29954031,Coxiella burnetii RSA 493 C,syndrome
5,29954030,West Nile virus  WN,body
6,29954030,Brucella abortus B.;Chlamydophila psittaci C.;H4N6 subtype H.;Brucella melitensis B.;Brucella suis B.;Burkholderia mallei B.;Francisella tularensis F.;West Nile virus  WNV;Brucella sp. B.;Coxiella burnetii C.;Mycobacterium tuberculosis M,weight
7,29954023,Coxiella burnetii RSA 493 C,Syndrome
8,29954023,Coxiella burnetii RSA 493 C,Syndrome
9,29954023,Coxiella burnetii RSA 493 C,syndrome
10,29954023,Coxiella burnetii RSA 493 C,syndrome
11,29954023,Coxiella burnetii RSA 493 C,syndrome
12,29954023,Coxiella burnetii RSA 493 C,syndrome
13,29954023,Coxiella burnetii RSA 493 C,syndrome
14,29954023,Coxiella burnetii RSA 493 C,syndrome
15,29954020,West Nile virus  WNV;Listeria monocytogenes L,status
16,29954018,Clostridium perfringens C,anxiety
17,29954018,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
18,29954018,Clostridium perfringens C,anxiety
19,29954016,Clostridium botulinum C.;Rickettsia prowazekii R,symptoms
20,29954016,Marburgvirus MV;Burkholderia pseudomallei B,mild
